data,contaminant,lat,lng,valor
2025-02-14,PM10,41.218985,1.7212,40
2025-02-14,PM10,41.15493,1.2177014,60
2025-02-14,PM10,41.906708,1.1930013,80
2025-02-14,NO2,41.218985,1.7212,15
2025-02-14,NO2,41.15493,1.2177014,30
2025-02-14,NO2,41.906708,1.1930013,45
2025-02-14,PM2.5,41.218985,1.7212,5
2025-02-14,PM2.5,41.15493,1.2177014,10
2025-02-14,PM2.5,41.906708,1.1930013,15
2025-01-06,PM10,41.218985,1.7212,40
2025-01-06,PM10,41.15493,1.2177014,60
2025-01-06,PM10,41.906708,1.1930013,80
2025-01-06,NO2,41.218985,1.7212,15
2025-01-06,NO2,41.15493,1.2177014,30
2025-01-06,NO2,41.906708,1.1930013,45
2025-01-06,PM2.5,41.218985,1.7212,5
2025-01-06,PM2.5,41.15493,1.2177014,10
2025-01-06,PM2.5,41.906708,1.1930013,15
